"Gene Symbol","Nominations","Year First Nominated","Nominating Teams","Cohort Study","Program","Input Data","Pharos Class","Small Molecule Druggability","Safety Rating","Antibody Modality"
"TUBB3","1","2018","Emory","ACT, Banner, BLSA","AMP-AD","Protein","Tclin","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TUFM","1","2018","Columbia-Rush","ROSMAP","AMP-AD","Clinical, Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"UBE2T","1","2019","Chang Lab","ROSMAP","Community","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"UGT8","1","2018","Mayo-UFL-ISB","Mayo","AMP-AD","RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"UNC119B","1","2019","Chang Lab","Mayo","Community","Genetics, RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"UNC13A","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"UNC5C","1","2018","Mayo-UFL-ISB","Mayo","AMP-AD","RNA","Tbio","4: Targetable by homologous structure: >=40% homologous to a structurally druggable protein, based on the presence of a druggable pocket in the homologous protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"UNC79","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","No value","No value","No value","No value"
"UQCRB","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"UQCRC1","1","2018","Columbia-Rush","ROSMAP","AMP-AD","Clinical, Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"UQCRC2","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"UQCRFS1","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"USP50","1","2023","ASU","VirusResilience","AMP-AD","RNA","Tdark","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"USP6NL","1","2023","MSSM - Roussos Lab","FreshMicro","AMP-AD","Genetics, RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"UTRN","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"VAV1","1","2022","IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","TREAT-AD","Genetics, RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"VCAN","1","2018","Emory","ACT, Banner, BLSA","AMP-AD","Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"VCP","1","2018","Emory","ACT, Banner, BLSA","AMP-AD","Protein","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
